No,施設区分,配置施設名,所管課,所在地,lat,lng,電話番号,AED利用可能時間,時間外利用方法,,施設数,配置台数,施設内の設置場所,,,,,,,
71,,西奈児童館,子ども未来課,葵区瀬名一丁目１９－３０,35.013664,138.424844,263-6343,9：00～17：30（月曜日（祝日を除く）、祝日の翌日、毎月第３日曜日、年末年始は除く）,時間外利用不可,,1,1,玄関ホール,,,,,,,
72,,服織児童館,子ども未来課,葵区羽鳥六丁目２７－１４,34.986616,138.337711,277-1201,9：00～17：30（月曜日（祝日を除く）、祝日の翌日、毎月第３日曜日、年末年始は除く）,時間外利用不可,,1,1,事務室前廊下,,,,,,,
73,,美和児童館,子ども未来課,葵区安倍口団地２－１０,35.019065,138.363255,296-4156,9：00～17：30（月曜日（祝日を除く）、祝日の翌日、毎月第３日曜日、年末年始は除く）,時間外利用不可,,1,1,玄関ホール,,,,,,,
74,こども園,上土こども園,こども園課,葵区古庄四丁目２番11号,34.99901,138.415998,261-6044,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
75,,安倍口中央こども園,こども園課,葵区安倍口団地３番１号,35.020346,138.364749,296-0345,7:30～18:00(月～土）,時間外利用不可,,1,1,１階玄関,,,,,,,
76,,梅ケ島こども園,こども園課,葵区梅ヶ島５４４番地の４,35.243531,138.346081,269-2004,8:00～17:00(月～土）,時間外利用不可,,1,1,玄関左側壁,,,,,,,
77,,大川こども園,こども園課,葵区坂ノ上１２３９番地の４,35.072641,138.247815,291-2123,8:00～17:00(月～土）,時間外利用不可,,1,1,玄関,,,,,,,
78,,新富町こども園,こども園課,葵区新富町三丁目２１番２号,34.971387,138.369546,252-2746,7:00～19:00(月～土）,時間外利用不可,,1,1,１階ホール,,,,,,,
79,,瀬名川こども園,こども園課,葵区瀬名川一丁目２１番４０号,35.004754,138.426922,262-5940,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関左側（職員靴箱上）,,,,,,,
80,,田町こども園,こども園課,葵区田町一丁目７９番地,34.974968,138.366086,252-6374,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
81,,長沼こども園,こども園課,葵区長沼二丁目１８番３１号,34.993283,138.414259,261-1241,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
